ablaze,,on fire,,
abrasion,,scratch,,
abut,a'but; [but],v. border on,,
acclaim,,"n., v. praise",,
accredit,,authorize,,
adept,,skilled,,
adjunct,'adjunct,accessory,,
adorn,,decorate,,
ajar,,Half-open,,
akin,a'kin,similar,,
allude,,[~ to] imply,,
aloft,,adv. in some place that is high,,
ambivalent,,hesitant,,
amble,,walk slowly,,
amenable,a'(mean)able,submissive,,
amenity,,(pl) things(facilities) that provide comfort; (pl) an atitude/gesture that promotes pleasantness in social relationships; being pleasant,,
amnesia,,an illness of forgetting things,,
anecdote,,(@activation magic!@),,
annex,a'nnex,"attach; unite; incorporate (country or territory); obtain, take",,
antibiotics,,drugs that kill fungi & bacteria by ...,,
antiquated,'an,old-fashioned and not in use,,
apportion,,distribute proportionately according to plan,apportion blame,
antiseptic,,bactericide,,
ardent,,passionate,,
arduous,,difficult,,
arid,'arid [a]t,"dry, unable to support agriculture",,
arthritis,ar'thr(ai)tis,(@activation magic!@),,
astute,,"shrewd, sharp, clever ",,
atheist,[a]ge theist,nonbeliever. Note: thei - deus,,
atrophy,,n. decrease/decline and wasting away of body part; also figurative; v. (i) undergo atropy; (t) make atropy,,
attire,a'tire,(formal) v. dress; n. dressing,attired in colorful costumes / business attire,
attic,,(@!@),,
avalanche,'aval(ahh)n(sh),(@activation magic!@),,
aversion,,"dislike, hatred",,
avid,,eager,,
avocation,,hobby; occupation persued in addition to regular job. Note: vocation - occupation,,
barb,,a hook used for fishing. Note: barb - beard - barber,,
barter,,"[~ for, with] exchange commodity fo r another",,
bead,,small piece pierced for threading; ball-shaped body; a drop of liquid,,
beak,,bird mouth,,
belie,,(vt) give a false impression of; disguise; misinterpret; show something to be false; contradict. Note: used under three circumstances where (1) the truth is covered by false appearance (2) the lie is exposed by evidence (3) the two just does not meet,,
bestow,[be] '[sto]ne,"confer, endow",,
concede,,acknowledge; give the right,,
besiege,,surround and harass,,
bequest,,inheritance,,
bland,,favorless,,
bleach,,"whiten (hair, cloth, etc)",,
blizzard,,snowstorm,,
bluff,,cliff,,
bolster,,n. long pillow; cushion; v. support with bolster; boost,lay bolstered up in bed,
boulder,,giant rock,,
bouquet,French!,bunch of flowers,,
braid,,"n. ribbon having 3+ components v. form a braid from, weave",,weave
brawl,,quarrel,,
breach,,v. break; n. violation,,
intoxication,,drunkenness; strong excitement; poisoning state,,
intrepid,,brave. Note: trepid - fearful,,
introspective,,self-examining,,
intrude,,enter without permission,,
invertebrate,,(@activation magic!@),,
involuntary,,unintentional,,
inviting,,tempting,,
irreparable,,(@activation magic!@),,
irritating,,causing displeasure (may be physical),irritating effects on human body,
jolt,,n. v. shock (all of a sudden),,
jubilant,,exultant,,
jumble,,v. mix up; n. mixture and chaos,jumble the cards,
jurisdiction,,authority,,
juvenile,,n. adj.(@activation magic!@),,
laborious,,involving hard effort; tedious,,
lash,,n. v. do you remember whiplash?(@activation magic!@),,
lateral,,"of, on the side",,
laurels,,honor,,
lavish,,extravagant,,
ledge,,"the raised part of a rock, building; a narrow flat surface",window ledge,
legible,,(of print or writing) clear and recognizable,,
legume,'le(gyoom),structure that collects beans,,
lethargic,,sleepy and lazy and lack of energy,,
libel,(lie)bel,slander with words,,
livestock,,"cows, chicken, pigs etc. kept on farm",,
loaf,,[adv/prep] spend time in idleness,,
loathsome,,disgusting. Note: loathe = hate,,
locomotion,,"movement, motion",,
longevity,'[ge]sture,long life,,
loom,,v. come into sight enlarged; emerge; esp. atmospheric conditions; n. machine to form cloth. Note: loomage - clothing,,
lore,,legend; knowledge that pass down orally,,
lucrative,'lucr(eh)tive,profitable,,
lull,,"applease, calm, relax",lulled into a false sense of security,
lure,,n.v. how to fish? (@activation magic!@),,
luster,,glow of reflected light or from within; prestige,luster of metal; luster of the stars; the politician's luster,
malfunction,,(@activation magic!@),,
malnutrition,,(@activation magic!@),,
mania,'(may)nia,craze,,
mammoth,,colossal,,
digression,[Di]ana,"n. deviation, act of speaking/writing off topic",,
dilate,[Di]ana,vi. expand; become enlarged; (t.) enlarge,his eyes dilated; the expectant mother was dilating slowly,
disciple,dis'(cy)ple,follower,,
discourse,'discourse,speech,,
disgrace,,"v. be source of shame to; humiliate; n. loss of grace, (countable) source of shame",,
disintergrate,,(@activation magic!@),,
disillusion,,v. free from illusion; n. being dissatisfied in expectation,,
dismal,'dismal,gloomy and causing depression; bad and dreadful,,
dismember,,split (body) apart,,
dispense,,"distribute, give out. Note: dispensable and indispensable (essential)",,
disproportionate,,(@activation magic!@),,
disseminate,,"spread abroad as though sowing seed. Note: sem-, relating to seed",,
